question,label
why is crop rotation important in farming?,Food_and_Drink
What farming practice helps prevent soil erosion?,Food_and_Drink
what is crop rotation,Food_and_Drink
what are the different methods of irrigation?,Business_and_Industrial
why is soil health vital?,Health
what are the causes of soil degradation?,Health
what is organic farming?,Food_and_Drink
what is the importane of organic farming?,Food_and_Drink
Which crop is the major source of food in africa?,Food_and_Drink
what is the major cassava disease?,Health
what are different cassava diseases?,Health
what are the signs and symptoms of CBB disease?,Health
what are the sustainable approaches to cassava disease management?,Health
which diseases can be spread by whiteflies?,Health
what is irrigation?,Business_and_Industrial
what are organic fertilizers?,Food_and_Drink
what are fertilizers?,Business_and_Industrial
why are fertilizers used in farming?,Business_and_Industrial
what type of fertilizers are made from chemical?,Business_and_Industrial
what is pest management?,Home_and_Garden
what are the different methods of pest management?,Home_and_Garden
in which way is climate change affecting agriculture?,People_and_Society
what are the effects of climate change,Science
what is crop protection?,Health
what kind of practices are used for crop protection?,Health
give two cultural crop protection practices.,Food_and_Drink
what is GMO in full?,Food_and_Drink
define what GMO is?,Business_and_Industrial
what concerns have recently been raised about GMO's? ,Business_and_Industrial
how can i define precision agriculture?,Business_and_Industrial
what kinds of tools are used in precision agriculture,Business_and_Industrial
what kind of information is collected by tools used in precision agriculture?,Business_and_Industrial
how can the information collected for precision agriculture used?,Business_and_Industrial
what is Integrated Pest Management?,Home_and_Garden
why is Integrated Pest Management used?,Home_and_Garden
what causes plant diseases?,Health
how do we control plant diseases?,Health
How can I increase the yield of my potato crop?,Food_and_Drink
What is the best way to store harvested wheat to prevent spoilage?,Food_and_Drink
What is the best time of year to plant soybeans in the Midwest?,Business_and_Industrial
what is the most popular crop in midwest?,Business_and_Industrial
what is the percentage of moisture content before storage?,Home_and_Garden
How can I control the spread of fungal diseases in my tomato plants?,Food_and_Drink
What is the recommended dosage of fertilizer for growing strawberries in sandy soil?,Food_and_Drink
How can I prevent soil erosion on my farm?,Business_and_Industrial
What are some common pests that attack apple trees and how can I control them?,Health
what other methods can be used to control apple tree pests?,Health
How do I know when my corn is ready to harvest?,Food_and_Drink
how do i check for corn maturity?,Finance
What are some sustainable farming practices that can help reduce environmental impact?,Food_and_Drink
What are some common pests that can affect maize crops?,Health
What is the ideal planting density for maize?,Food_and_Drink
How can I improve the quality of my grapes for winemaking?,Food_and_Drink
which year was Apple farming introduced in Uganda?,Food_and_Drink
What type of soil is best suited for growing beans?,Food_and_Drink
How should the soil be prepared before planting beans?,Food_and_Drink
What is the recommended pH range for soil used for growing beans?,Food_and_Drink
"What are some common pests and diseases that can affect beans, and how can they be managed?",Health
"When is the best time to harvest beans, and how is this determined?",Food_and_Drink
"What is field curing, and why is it important for bean crops?",Food_and_Drink
What is threshing?,Business_and_Industrial
how is threshing done for bean crops?,Food_and_Drink
What is post-harvest management?,Business_and_Industrial
which other techniques can help preserve quality of beans?,Food_and_Drink
what is the right spacing for beans when plantimg?,Food_and_Drink
what is the ideal storage temperature for beans?,Food_and_Drink
what should grapes be harvested?,Food_and_Drink
why is post-harvest management important for preserving the quality of beans?,Food_and_Drink
how are beans planted?,Food_and_Drink
What is maize and why is it important?,Business_and_Industrial
What are the ideal conditions for planting maize?,Food_and_Drink
How are maize planted?,Food_and_Drink
what is the spacing between plants and rows?,Home_and_Garden
What is necessary to facilitate seedling growth during the germination process?,Health
What are the common pests and diseases that affect maize?,Health
how can pest and diseases be managed in maize plants? ,Health
When is the ideal time to harvest maize?,Food_and_Drink
how are plants harvested?,Food_and_Drink
What is the process of field drying and threshing maize?,Food_and_Drink
How is maize  stored after harvesting?,Food_and_Drink
What are the ideal storage conditions for maize to prevent mold growth and insect infestation?,Food_and_Drink
which district in Uganda was apple first introduced?,Food_and_Drink
which other regions in Uganda grow apples?,Food_and_Drink
what are some of the challenges in growing apples?,Food_and_Drink
"What is the fall armyworm, and why is it a concern for farmers in Uganda?",Health
When was the fall armyworm first detected in Uganda?,Health
Which crops are most susceptible to armyworm infestation in Uganda?,Health
What are the potential crop losses due to armyworm infestation?,Health
"How is the spread of armyworms facilitated, and why is it challenging to contain their spread?",Health
What are some of the methods that farmers in Uganda use to control armyworms?,Health
when do i harvest cassava plant?,Food_and_Drink
what type of fertilizers can be applied for maize?,Business_and_Industrial
Testing Cassava?,Health
How long does beans take  from planting to harvesting season?,Food_and_Drink
any maize market out there?,Food_and_Drink
"In growing Irish potatoes,row planting and use of holes, which one conserves fertilizers?",Food_and_Drink
where do I submit my answer?,Jobs_and_Education
What are the effects of reliable rain fall,News
when can Calcium Ammonium Nitrate (CAN) be applied in maize?,Business_and_Industrial
"Any maize markets out there?
",Food_and_Drink
which key districts produces maize in uganda?,Business_and_Industrial
Is maize growth affected by altitude?,Business_and_Industrial
what is seed dormancy,Science
What is the best season for beans?,Food_and_Drink
what the required soil PH for beans,Food_and_Drink
name two types of beans found in the garden,Food_and_Drink
"What type of soil is beans doing well
",Food_and_Drink
Name factors that causes seed dormancy,Science
How can couch grass be effectively control from the cassava garden.,Home_and_Garden
what is Thiram,Business_and_Industrial
Which common chemical is used for seed dressing,Food_and_Drink
what is soil fertility,Health
Which agricultural method can be used to improve on soil fertility,Business_and_Industrial
What is the recommended spacing for cassava?,Food_and_Drink
What are the symptoms of cassava mosaic,Health
What are the factors affecting response of crops to fertilizers,Business_and_Industrial
what causes Cassava mosaic disease,Health
how do you control Cassava mosaic disease,Health
how can Cassava mosaic disease spread ,Health
which fish are grown in farms?,Food_and_Drink
which natural water can fish grow in?,Food_and_Drink
Where does our food come from?,Food_and_Drink
How has farming changed in the United States?,News
how many farms were there in United States in 1935,Business_and_Industrial
Which U.S. states are the biggest farm states?,Business_and_Industrial
How does the combine harvester help farmers?,Business_and_Industrial
how was harvesting done before the evolution of machinery?,Business_and_Industrial
which farm tool was used by farmers to thresh or beat the dried wheat in order to separate its edible grain seeds from its stalks,Food_and_Drink
what are combine harvesters?,Business_and_Industrial
Who invented the earliest milking machines?,Business_and_Industrial
how were the primitive milking machine used?,Food_and_Drink
What is a seed drill?,Business_and_Industrial
how did seed drill helped farmres,Business_and_Industrial
What are windmills used for?,Business_and_Industrial
what is the use of wind mill.,Business_and_Industrial
which people used small windmills to generate electricity in rural areas,Business_and_Industrial
What are barns used for?,Home_and_Garden
Why are crops sprayed with pesticides?,Food_and_Drink
what are other reasons  why crops are sprayed,Business_and_Industrial
What is a silo?,Business_and_Industrial
what is hay,Food_and_Drink
"which crop is the crop most often used for silage.
",Food_and_Drink
Does organic farming contribute to less pollution?,Food_and_Drink
Organic farms that raise livestock such as dairy cows or chickens feed the animals with?,Food_and_Drink
what the advantages of natural food?,Food_and_Drink
why do farmers to use chemicals,Business_and_Industrial
what is the basic principle of organic farming,Food_and_Drink
how do farmers control insects?,Health
Does organic farming contribute to less pollution?,Food_and_Drink
which countries in United States has fish farms,Food_and_Drink
which two countries contribute to 80 percentage of the sea food,Food_and_Drink
Why do cows stand around in fields eating all day?,Food_and_Drink
A large diary cows can eat up of?,Food_and_Drink
how many chambers does a cow has,Pets_and_Animals
give other examples of ruminats,Food_and_Drink
what is the use of cow's special stomach,Food_and_Drink
Why do horses sleep standing up?,Pets_and_Animals
How can cows make so much milk?,Food_and_Drink
Why are pigs so dirty?,Food_and_Drink
what does poverty results in?,People_and_Society
Do farmers waste water?,Food_and_Drink
What is Consumptive water use?,Food_and_Drink
Farmers are focused on conserving water for several reasons,Food_and_Drink
Do cows cause global warming? ,Pets_and_Animals
what percentage does agriculture contribute to the total greenhouse gas emissions,People_and_Society
which year did methane emission decline to 35%,People_and_Society
Can the world support more vegetarians than meat eaters?,Food_and_Drink
"Is buying organic food better for the environment than buying food
produced conventionally?
",Food_and_Drink
How does farming and ranching impact wildlife habitat?,Pets_and_Animals
what is rotenone?,Business_and_Industrial
which pesticides causes liver disease?,Health
which body oversees organic certification>,Business_and_Industrial
"which synthetic substances allowed in organic production.
",Business_and_Industrial
what is FDA,Health
How do you call the young ones of a horse,Pets_and_Animals
Name one breed of a horse,Pets_and_Animals
what are ponnies?,Beauty_and_Fitness
A mature horse shorter than 14 hands is considered?,Pets_and_Animals
How is the height of a horse measured?,Business_and_Industrial
what does a hand represents in a horse?,Arts_and_Entertainment
why has Food and Drug Administration has approved  the use of antibiotics in treating animals?,Health
how do ranchers administer antibiotics?,Health
why do ranchers do not like to use antibiotics?,Health
Is beef a healthy protein option?,Food_and_Drink
what is the use of vitamin B6?,Health
which vitamins helps blood cell and DNA development,Health
do plants have naturally occurring B12?,Science
what is animal welfare?,Pets_and_Animals
why is animal welfare important to ranchers?,Pets_and_Animals
List the Animal Care Principles for producers,Pets_and_Animals
why should we have more livestock on the grazzing ground?,Food_and_Drink
what are other merits of increasing the density of cattles on the grazing land?,Food_and_Drink
Do brown cows produce chocolate milk?,Food_and_Drink
List the breeds of dairy cattle?,Food_and_Drink
How many pounds of grain does it take to produce 1 pound of beef?,Food_and_Drink
Are beef animals consuming grain that could be used to feed humans?,Food_and_Drink
what important role does agriculture play?,Business_and_Industrial
"Could more people be fed if crop land was used for food for human
consumption instead of livestock or livestock feed?",Food_and_Drink
what is High fructose corn syrup,Food_and_Drink
what median age of farmers in the US,People_and_Society
what is the importance of agriculture.,Business_and_Industrial
Is agriculture a necessary industry?,Business_and_Industrial
Can I eat healthy without spending a lot of money?,Food_and_Drink
Where does our food come from?,Food_and_Drink
what is Food Supply Continuum,Food_and_Drink
what are the three phases of  Food Supply Continuum,Food_and_Drink
"During  Food Supply Continuum, what processes are included inside pre-harvest phase.",Food_and_Drink
what processes are involved during harvest phase of  Food Supply Continuum,Food_and_Drink
"during the final stage, what activities are done during  Food Supply Continuum",Jobs_and_Education
"Is buying local and organic the same thing?
",Food_and_Drink
What does the label on my egg carton mean?,Food_and_Drink
What are genetically modified organisms (GMOs)?,Science
what is plant biotechnology,Business_and_Industrial
"the product of consistent modification by scientists are called?
",Science
"Are fresh, raw vegetables healthier and more nutritious than frozen
vegetables?",Food_and_Drink
give two ways in which frozen vegetables can even be more nutritious than fresh vegetables.,Food_and_Drink
What percentage did vitamin C in fresh broccoli dropped?,Food_and_Drink
"If it says locally grown, does that mean it is from my community?",Business_and_Industrial
Is global hunger caused by a shortage of food?,Food_and_Drink
what causes hunger?,Health
What is gene editing? How is it different from genetic engineering?,Science
"What is the difference between cloning and genetic modification (GM)?
",Science
Can farmers save and replant GMO seeds?,Food_and_Drink
Are genetically modified organisms (GMOs) the only organisms with genes?,Science
Can eating a genetically modified fruit or vegetable change a person’s genes?,Food_and_Drink
What kind of technology do farmers use in the field to help the environment?,Business_and_Industrial
How is technology in agriculture changing?,News
Is the primary focus of the USDA agricultural programs?,Business_and_Industrial
"what is RFID in full
",Computers_and_Electronics
what is RFID used for?,Computers_and_Electronics
which other field is RFID being used?,Computers_and_Electronics
"Does the United States import more agricultural products than we export?
",Business_and_Industrial
which agricultural products accounted for the exports in 2019,News
which two countries are the largest trading partners of the U.S,Business_and_Industrial
Do agricultural exports help the economy? ,Business_and_Industrial
Does most of the money I pay for food go back to the farmer?,Food_and_Drink
Does my food price go up because farmers want to make more money?,Food_and_Drink
List inputs whose cost would lead farmers to increase prices.,Business_and_Industrial
"If a farm is large, does that mean it is a corporate farm?",Business_and_Industrial
Are we losing family farms because corporate farms are taking over American Agriculture?,Business_and_Industrial
Is agriculture a luxury or a matter of national security?,Business_and_Industrial
What is soil science and management.,Science
why is it important in agriculture?,Business_and_Industrial
"What are some of the physical and chemical, properties of soil that soil scientists study?",Science
What are some of biological properties of soil that soil scientists study?,Science
what is soil?,Science
List some of the soil management activites.,Health
"what is the importance of soil management.
",Business_and_Industrial
what is fertilization?,Health
why is fertilizer used in soil management?,Business_and_Industrial
name two types fertilizers.,Business_and_Industrial
in which areas are irrigation done.,Home_and_Garden
why do farmers practice irrigation.,Business_and_Industrial
what is tillage?,Business_and_Industrial
excessive tillage can lead to ?,Business_and_Industrial
why must farmers  balance the benefits of tillage against its potential negative impacts,Business_and_Industrial
what is crop rotation in soil management?,Food_and_Drink
why is crop rotation important?,Food_and_Drink
what is final stage in crop cultivation,Food_and_Drink
what is harvesting,Food_and_Drink
which stage of crop cultivation involves placing seeds or seedlings into the soil at the right depth and spacing.,Food_and_Drink
name one crop planted by using a seed drill.,Food_and_Drink
why do crops require regular maintainance after planting,Food_and_Drink
name the activities of crop maintanance.,Business_and_Industrial
name the first step in crop cultivation,Food_and_Drink
what are cover crops,Food_and_Drink
What is crop cultivation?,Business_and_Industrial
what is plant nutrition?,Food_and_Drink
"give examples of macronutrients?
",Health
give examples of micronutrients.,Health
which nutrients are required for high yield in cassava.,Food_and_Drink
name the various forms in which fertilizers can be applied?,Business_and_Industrial
name some of the common water management practices,Business_and_Industrial
what are some of the water conservation practices being done.,People_and_Society
how can i differentiate sprinkler irrigation from drip irrigation.,Home_and_Garden
what is a fish farm,Food_and_Drink
Name the various activities done during crop cultivation.,Business_and_Industrial
why is crop cultivation a critical aspect of agriculture.,Food_and_Drink
name regions where irrigation is applicable.,Business_and_Industrial
what is  irrigation.,Business_and_Industrial
name activities done during water management.,Business_and_Industrial
Poor irrigation leads to?,Home_and_Garden
name the types of irrigation.,Business_and_Industrial
The primary macronutrients are?,Health
which nutrient is essential for the production of chlorophyll.,Science
what is the importance of chlorophyll.,Science
"which nutrient  is important for root development, flowering, and fruiting.",Food_and_Drink
"what nutrients can i use for water regulation, disease resistance, and stress tolerance in plants.",Health
what are organic fertilizers?,Food_and_Drink
what does  nitrogen deficiency causes?,Health
The deficiency of phosphorus results into?,Health
which symptoms are evident of Micronutrient deficiencies,Health
why do farmers plant cover crops?,Food_and_Drink
why do we say cover crops are nurse crops?,Health
how doses cover crops reduce soil loss?,Health
what is Pastoralism.,People_and_Society
how do we call the cover crops that increases soil fertility.,Business_and_Industrial
what are green manure used for?,Food_and_Drink
which types of crops are used to retain and recycle soil nitrogen already present.,Business_and_Industrial
how do we define a cover crop biomass.,Business_and_Industrial
name one crop that belongs to Brassicaceae family,Food_and_Drink
how does  Brassicaceae family crops suppress fungal disease.,Health
whats the botanical name of african armyworm,Science
which family does the African armyworm belongs to.,Health
how did the name armyworm starts.,Games
name the phase in polyphenism in which the larvae raised in isolation turns green,Science
which phase in polyphenism in which the larvae raised in groups turns black.,Science
why are Gregaria caterpillars considered very deleterious pests.,Health
name Spodoptera exempta species that have chisel-like mandibels.,Pets_and_Animals
which countries do we find african armyworm,Health
which region in African has the armyworm,Health
name the four stages of the lifecycle.,Business_and_Industrial
how many eggs does a female African armyworm lays.,Health
how many eggs does the female armyworm lays per night.,Pets_and_Animals
where do armyworms lay their eggs.,Pets_and_Animals
what is the size of the armyworms laid eggs.,Food_and_Drink
when do the eggs of armyworms turn black.,Pets_and_Animals
how many days does the eggs takes to hatch into larvae.,Pets_and_Animals
what causes the green coloration in Solitaria larvae,Health
what are other benefits of cover crops to habitat.,Food_and_Drink
how does clover cover crop enhanced songbird habitat.,Pets_and_Animals
when do adults emerge?,People_and_Society
when do ad.ults emerge from pupa stage,Science
how long does the adult live.,Health
how can distinguish female from male,People_and_Society
how many bristles do female armyworms have?,Health
what happens to African armyworms first after emerging from pupation,Pets_and_Animals
how do the moths migrate?,Pets_and_Animals
when do moths travel?,Travel_and_Transportation
why is migration benefical to moths?,Pets_and_Animals
name two types of African armyworm outbreak.,Health
when do primary outbreaks occurs?,Health
when secondary outbreaks occur?,Health
what is Food Safety and Inspection Service (FSIS) responsible.,Food_and_Drink
what does  Food and Drug Administration (FDA) focuses on.,Health
what  is the role of Center for Disease Control(CDC). ,Health
Give one example of  natural erosion caused by water.,People_and_Society
how do farmers control soil erosion.,Health
which kind of GM varieties release protein to control pest.,Food_and_Drink
what is Couch grass?,Home_and_Garden
what is isolation.,Science
what is micropropagation.,Science
"what is volunteer plant
",People_and_Society
define what a seed class is?,Science
What is rouging.,Sports
what is ratoon crop.,Food_and_Drink
what does Agriculture encompasses.,Business_and_Industrial
The major agricultural products can be broadly grouped into ?,Business_and_Industrial
name agricultural products that belong to food classes.,Food_and_Drink
what is the approximate Global agricultural production of food.,Food_and_Drink
what is the approximate Global agricultural production,Business_and_Industrial
what is the approximate amount of Global agricultural production of wood.,Business_and_Industrial
name any Environmental issues.,People_and_Society
what are some of the high risk of work-related hazards that can affect farmers.,Health
what is common cause of fatal agricultural injuries in developed countries.,Health
what are the common causes of fatal injuries among young farm workers.,Health
which population is vulnerable  in agriculture.,People_and_Society
which  sector is considered as one of the most hazardous of all economic sectors by International Labour Organization.,Business_and_Industrial
what is the estimates of the annual work-related death toll among agricultural employees.,News
what is shifting cultivation.,Business_and_Industrial
which kind of cultivation is sometimes referred to as slash and burn.,Business_and_Industrial
what is monoculture.,Business_and_Industrial
what is multiple cropping.,Computers_and_Electronics
define what is intercropping.,Business_and_Industrial
name the important categories of food crops.,Food_and_Drink
name the major categories of Natural fibers.,Business_and_Industrial
what is animal husbandry?,Pets_and_Animals
name working animals that have been used to cultivate fields.,Pets_and_Animals
what is Aquaculture,Health
what is Tillage.,Food_and_Drink
How can Tillage improve productivity.,Business_and_Industrial
Name the pest control management practices.,Home_and_Garden
Name the cultural pest control practicies.,Home_and_Garden
Name cultural  techniques for managing crop nutrients use.,Food_and_Drink
what farming technique is used to supplement rainfall in areas of low rainfall.,News
which technical allows for water status monitoring and automate water usage.,Business_and_Industrial
what is Payment for ecosystem services.,Business_and_Industrial
what is agricultural automation?,Business_and_Industrial
which type of family do green manure crops belongs to.,Food_and_Drink
which nutrient is leguminous crops high in?,Food_and_Drink
what happens during biological nitrogen fixation?,Science
which other way can cover crops increase fertility,Health
why do we manage soil quality?,Business_and_Industrial
what are principal factors of soil quality.,Health
how are cover crops used in agroecosystem where water for crop production is in short supply,Food_and_Drink
which other way can make a cow produces more milk? ,Food_and_Drink
how many teats or nipples does a cow has?,Food_and_Drink
how do cover crops suppress weeds during growth.,Home_and_Garden
how do cover crops suppress weeds after death,Health
name examples of cover crops.,Home_and_Garden
"apart from suppressing weeds, what are other properties of allelopathic cover crops.",Health
